,country,framework,users,type
1660,Viet Nam,Svelte,7,have used
1661,Bolivia,ASP.NET Core,7,have used
1662,Austria,Ruby on Rails,7,have used
1663,Austria,Phoenix,7,have used
1664,Turkmenistan,jQuery,7,have used
1665,Luxembourg,Vue.js,7,have used
1666,Armenia,Vue.js,7,have used
1667,Myanmar,Django,7,have used
1668,Malawi,React.js,7,have used
1669,Bolivia,ASP.NET,7,have used
1670,Armenia,Laravel,7,have used
1671,Bolivia,Next.js,7,have used
1672,Bulgaria,Gatsby,7,have used
1673,Bosnia and Herzegovina,Django,7,have used
1674,Malaysia,Blazor,7,have used
1675,Argentina,Gatsby,7,have used
1676,Tunisia,Angular.js,7,have used
1677,Uzbekistan,FastAPI,7,have used
1678,"Venezuela, Bolivarian Republic of...",ASP.NET,7,have used
1679,Azerbaijan,Next.js,7,have used
1680,The former Yugoslav Republic of Macedonia,Next.js,7,have used
1681,Albania,Next.js,7,have used
1682,Algeria,jQuery,7,have used
1683,Czech Republic,Phoenix,7,have used
1684,Cameroon,Vue.js,7,have used
1685,Nigeria,Drupal,7,have used
1686,Kosovo,jQuery,7,have used
1687,Hong Kong (S.A.R.),Gatsby,7,have used
1688,Honduras,ASP.NET,7,have used
1689,Republic of Moldova,Express,7,have used
1690,Russian Federation,Deno,7,have used
1691,Guatemala,FastAPI,7,have used
1692,Greece,Gatsby,7,have used
1693,Iceland,Next.js,7,have used
1694,Russian Federation,Phoenix,7,have used
1695,Nicaragua,jQuery,7,have used
1696,Saudi Arabia,Svelte,7,have used
1697,Senegal,Node.js,7,have used
1698,Senegal,React.js,7,have used
1699,Serbia,Drupal,7,have used
1700,Hong Kong (S.A.R.),Svelte,7,have used
1701,Norway,Ruby on Rails,7,have used
1702,Serbia,Phoenix,7,have used
1703,Jamaica,Vue.js,7,have used
1704,Kazakhstan,ASP.NET,7,have used
1705,Jordan,Laravel,7,have used
1706,Jordan,Django,7,have used
1707,Kenya,Blazor,7,have used
1708,Panama,ASP.NET,7,have used
1709,Panama,ASP.NET Core,7,have used
1710,Jamaica,React.js,7,have used
1711,Philippines,Phoenix,7,have used
1712,Israel,Drupal,7,have used
1713,Israel,Deno,7,have used
1714,Peru,Svelte,7,have used
1715,Kosovo,ASP.NET Core,7,have used
1716,Philippines,Fastify,7,have used
1717,Norway,Symfony,7,have used
1718,Finland,Drupal,7,have used
1719,Ghana,ASP.NET,7,have used
1720,El Salvador,Next.js,7,have used
1721,Lebanon,ASP.NET,7,have used
1722,El Salvador,Vue.js,7,have used
1723,Latvia,Laravel,7,have used
1724,Latvia,Next.js,7,have used
1725,Slovakia,Svelte,7,have used
1726,El Salvador,Flask,7,have used
1727,Slovenia,Gatsby,7,have used
1728,Afghanistan,ASP.NET Core,7,have used
1729,Estonia,Fastify,7,have used
1730,Cuba,jQuery,7,have used
1731,Sudan,Express,7,have used
1732,Switzerland,Drupal,7,have used
1733,Colombia,Phoenix,7,have used
1734,Chile,Nuxt.js,7,have used
1735,Chile,Gatsby,7,have used
1736,Malta,ASP.NET,7,have used
1737,Malta,ASP.NET Core,7,have used
1738,Singapore,Gatsby,7,have used
1739,Latvia,Blazor,7,have used
1740,Saudi Arabia,Angular.js,6,have used
1741,Peru,FastAPI,6,have used
1742,Somalia,Node.js,6,have used
1743,The former Yugoslav Republic of Macedonia,Vue.js,6,have used
1744,"Venezuela, Bolivarian Republic of...",FastAPI,6,have used
1745,South Korea,Deno,6,have used
1746,South Korea,Gatsby,6,have used
1747,Oman,Express,6,have used
1748,Uganda,Vue.js,6,have used
1749,Viet Nam,Gatsby,6,have used
1750,New Zealand,Nuxt.js,6,have used
1751,Nepal,Blazor,6,have used
1752,Turkey,Play Framework,6,have used
1753,Paraguay,Flask,6,have used
1754,Paraguay,Laravel,6,have used
1755,Uzbekistan,Laravel,6,have used
1756,Zambia,Django,6,have used
1757,Sudan,Vue.js,6,have used
1758,Morocco,Svelte,6,have used
1759,Uganda,Angular.js,6,have used
1760,Switzerland,Play Framework,6,have used
1761,Uganda,ASP.NET Core,6,have used
1762,Palestine,Django,6,have used
1763,Nepal,Fastify,6,have used
1764,Syrian Arab Republic,ASP.NET Core,6,have used
1765,Malta,Flask,6,have used
1766,Singapore,Svelte,6,have used
1767,New Zealand,Deno,6,have used
1768,Slovakia,Fastify,6,have used
1769,Slovenia,Drupal,6,have used
1770,Syrian Arab Republic,Vue.js,6,have used
1771,Russian Federation,Play Framework,6,have used
1772,Montenegro,React.js,6,have used
1773,Montenegro,Node.js,6,have used
1774,United Arab Emirates,Symfony,6,have used
1775,Mongolia,Node.js,6,have used
1776,Nigeria,Deno,6,have used
1777,United Republic of Tanzania,Angular,6,have used
1778,United Arab Emirates,Blazor,6,have used
1779,United Republic of Tanzania,Express,6,have used
1780,Ukraine,Play Framework,6,have used
1781,Morocco,FastAPI,6,have used
1782,United Republic of Tanzania,Laravel,6,have used
1783,Republic of Moldova,Vue.js,6,have used
1784,Nigeria,Phoenix,6,have used
1785,Ukraine,Phoenix,6,have used
1786,Republic of Moldova,Angular,6,have used
1787,Turkmenistan,Django,6,have used
1788,Qatar,React.js,6,have used
1789,Qatar,Node.js,6,have used
1790,Uruguay,Angular.js,6,have used
1791,Uruguay,Flask,6,have used
1792,Norway,Drupal,6,have used
1793,Senegal,Express,6,have used
1794,Portugal,Drupal,6,have used
1795,New Zealand,Fastify,6,have used
1796,Zimbabwe,jQuery,6,have used
1797,El Salvador,ASP.NET,6,have used
1798,Egypt,Symfony,6,have used
1799,Albania,Flask,6,have used
1800,Kazakhstan,FastAPI,6,have used
1801,Egypt,Svelte,6,have used
1802,"Iran, Islamic Republic of...",Drupal,6,have used
1803,Kazakhstan,Next.js,6,have used
1804,Costa Rica,Flask,6,have used
1805,Costa Rica,Gatsby,6,have used
1806,Azerbaijan,Flask,6,have used
1807,Iraq,Express,6,have used
1808,Iceland,Node.js,6,have used
1809,Kosovo,ASP.NET,6,have used
1810,Finland,Phoenix,6,have used
1811,Malaysia,Ruby on Rails,6,have used
1812,Argentina,Play Framework,6,have used
1813,Kosovo,Angular,6,have used
1814,Latvia,Angular,6,have used
1815,Iraq,Django,6,have used
1816,Lithuania,Blazor,6,have used
1817,Côte d'Ivoire,Laravel,6,have used
1818,Japan,Deno,6,have used
1819,Madagascar,Express,6,have used
1820,Madagascar,Next.js,6,have used
1821,Madagascar,Angular,6,have used
1822,Afghanistan,Flask,6,have used
1823,Chile,Svelte,6,have used
1824,China,Gatsby,6,have used
1825,Japan,Blazor,6,have used
1826,Japan,Fastify,6,have used
1827,Albania,FastAPI,6,have used
1828,Isle of Man,React.js,6,have used
1829,Dominican Republic,Flask,6,have used
1830,Colombia,Gatsby,6,have used
1831,Albania,Django,6,have used
1832,"Congo, Republic of the...",Express,6,have used
1833,Ireland,FastAPI,6,have used
1834,Albania,Express,6,have used
1835,Côte d'Ivoire,Node.js,6,have used
1836,Chile,Fastify,6,have used
1837,Ghana,Angular,6,have used
1838,Guatemala,Angular.js,6,have used
1839,Cyprus,jQuery,6,have used
1840,Guatemala,Flask,6,have used
1841,Cambodia,Nuxt.js,6,have used
1842,Guatemala,Laravel,6,have used
1843,Kuwait,React.js,6,have used
1844,Kuwait,Angular,6,have used
1845,Cyprus,Vue.js,6,have used
1846,Cyprus,Next.js,6,have used
1847,Bosnia and Herzegovina,Ruby on Rails,6,have used
1848,Honduras,Laravel,6,have used
1849,Cuba,Express,6,have used
1850,Kyrgyzstan,jQuery,6,have used
1851,Kosovo,Vue.js,6,have used
1852,Cyprus,ASP.NET,5,have used
1853,Myanmar,Nuxt.js,5,have used
1854,Panama,Angular,5,have used
1855,Colombia,Symfony,5,have used
1856,Luxembourg,Next.js,5,have used
1857,Japan,Symfony,5,have used
1858,Uganda,Next.js,5,have used
1859,Kyrgyzstan,Node.js,5,have used
1860,Jordan,ASP.NET Core,5,have used
1861,Cyprus,ASP.NET Core,5,have used
1862,Denmark,Drupal,5,have used
1863,Denmark,Symfony,5,have used
1864,Palestine,Next.js,5,have used
1865,Luxembourg,FastAPI,5,have used
1866,Kosovo,Next.js,5,have used
1867,Cuba,Angular,5,have used
1868,Chile,Symfony,5,have used
1869,Ecuador,Blazor,5,have used
1870,Kuwait,Node.js,5,have used
1871,Azerbaijan,Angular,5,have used
1872,Sri Lanka,Ruby on Rails,5,have used
1873,Bolivia,Angular.js,5,have used
1874,Austria,Play Framework,5,have used
1875,Paraguay,Angular.js,5,have used
1876,Viet Nam,Phoenix,5,have used
1877,Ghana,Ruby on Rails,5,have used
1878,Serbia,Ruby on Rails,5,have used
1879,Nomadic,jQuery,5,have used
1880,"Congo, Republic of the...",Node.js,5,have used
1881,Panama,Express,5,have used
1882,Uruguay,Laravel,5,have used
1883,Mozambique,jQuery,5,have used
1884,Belgium,Fastify,5,have used
1885,Nepal,Deno,5,have used
1886,Nicaragua,Express,5,have used
1887,Pakistan,Deno,5,have used
1888,Serbia,Fastify,5,have used
1889,Nicaragua,Angular,5,have used
1890,Nicaragua,ASP.NET,5,have used
1891,Lebanon,Next.js,5,have used
1892,Oman,Node.js,5,have used
1893,Romania,Phoenix,5,have used
1894,South Korea,Phoenix,5,have used
1895,Argentina,Drupal,5,have used
1896,Latvia,Django,5,have used
1897,Georgia,Laravel,5,have used
1898,Algeria,Express,5,have used
1899,Oman,Django,5,have used
1900,Côte d'Ivoire,React.js,5,have used
1901,Rwanda,Laravel,5,have used
1902,"Venezuela, Bolivarian Republic of...",Ruby on Rails,5,have used
1903,Côte d'Ivoire,Vue.js,5,have used
1904,Lithuania,Nuxt.js,5,have used
1905,Rwanda,Django,5,have used
1906,Jordan,Next.js,5,have used
1907,Nepal,Gatsby,5,have used
1908,Algeria,Laravel,5,have used
1909,Mali,Django,5,have used
1910,South Korea,Fastify,5,have used
1911,Uzbekistan,Next.js,5,have used
1912,Croatia,Ruby on Rails,5,have used
1913,Georgia,Ruby on Rails,5,have used
1914,Cyprus,Flask,5,have used
1915,Nepal,Ruby on Rails,5,have used
1916,Rwanda,Vue.js,5,have used
1917,Armenia,FastAPI,5,have used
1918,Nicaragua,Node.js,5,have used
1919,Kazakhstan,Flask,5,have used
1920,Finland,Symfony,5,have used
1921,Republic of Moldova,Laravel,5,have used
1922,Singapore,Laravel,5,have used
1923,Nomadic,Angular,5,have used
1924,Estonia,Angular.js,5,have used
1925,Qatar,Express,5,have used
1926,Saudi Arabia,FastAPI,5,have used
1927,Slovakia,Nuxt.js,5,have used
1928,Iraq,Laravel,5,have used
1929,Maldives,Node.js,5,have used
1930,Ecuador,Symfony,5,have used
1931,Mongolia,Express,5,have used
1932,Slovenia,Svelte,5,have used
1933,Isle of Man,ASP.NET Core,5,have used
1934,Ethiopia,FastAPI,5,have used
1935,Ireland,Fastify,5,have used
1936,Syrian Arab Republic,Next.js,5,have used
1937,Ireland,Phoenix,5,have used
1938,Republic of Korea,FastAPI,5,have used
1939,Mongolia,jQuery,5,have used
1940,Tajikistan,Vue.js,5,have used
1941,Turkmenistan,Express,5,have used
1942,Iraq,Angular,5,have used
1943,Iraq,ASP.NET Core,5,have used
1944,Zambia,React.js,5,have used
1945,Hungary,Deno,5,have used
1946,Portugal,Fastify,5,have used
1947,Hong Kong (S.A.R.),Fastify,5,have used
1948,El Salvador,Angular.js,5,have used
1949,Turkmenistan,Laravel,5,have used
1950,Malaysia,Symfony,5,have used
1951,Mexico,Fastify,5,have used
1952,United Arab Emirates,Gatsby,5,have used
1953,Malaysia,Fastify,5,have used
1954,Malaysia,Deno,5,have used
1955,Mexico,Play Framework,5,have used
1956,Senegal,Angular,5,have used
1957,Mauritius,Angular.js,5,have used
1958,Mauritius,Angular,5,have used
1959,Malawi,Node.js,5,have used
1960,Isle of Man,ASP.NET,5,have used
1961,Bulgaria,Drupal,5,have used
1962,Taiwan,Svelte,5,have used
1963,Thailand,Deno,5,have used
1964,Estonia,Phoenix,5,have used
1965,Peru,Gatsby,5,have used
1966,Syrian Arab Republic,ASP.NET,5,have used
1967,Morocco,Drupal,5,have used
1968,Malta,Angular,5,have used
1969,Montenegro,Vue.js,5,have used
1970,Somalia,React.js,5,have used
1971,Morocco,Blazor,5,have used
1972,Estonia,Svelte,5,have used
1973,Tunisia,FastAPI,5,have used
1974,The former Yugoslav Republic of Macedonia,Svelte,5,have used
1975,Bosnia and Herzegovina,Svelte,5,have used
1976,Estonia,Nuxt.js,5,have used
1977,Belarus,Laravel,5,have used
1978,Madagascar,jQuery,5,have used
1979,Ethiopia,Flask,5,have used
1980,Italy,Play Framework,5,have used
1981,Yemen,jQuery,5,have used
1982,Bangladesh,Fastify,4,have used
1983,Honduras,Flask,4,have used
1984,Slovakia,Blazor,4,have used
1985,Guatemala,Next.js,4,have used
1986,Republic of Moldova,Next.js,4,have used
1987,Norway,Phoenix,4,have used
1988,Cuba,FastAPI,4,have used
1989,Slovakia,Symfony,4,have used
1990,Hong Kong (S.A.R.),Blazor,4,have used
1991,Bolivia,Drupal,4,have used
1992,Kosovo,Flask,4,have used
1993,El Salvador,Laravel,4,have used
1994,Kosovo,Django,4,have used
1995,Ethiopia,Svelte,4,have used
1996,Hong Kong (S.A.R.),Drupal,4,have used
1997,Republic of Moldova,ASP.NET Core,4,have used
1998,Argentina,Deno,4,have used
1999,Uruguay,Symfony,4,have used
2000,Bangladesh,Drupal,4,have used
2001,Tunisia,Nuxt.js,4,have used
2002,Republic of Korea,Laravel,4,have used
2003,Slovakia,Deno,4,have used
2004,Sri Lanka,Blazor,4,have used
2005,Estonia,Laravel,4,have used
2006,Tunisia,Svelte,4,have used
2007,Angola,React.js,4,have used
2008,Cyprus,Angular,4,have used
2009,Guatemala,Blazor,4,have used
2010,Angola,Express,4,have used
2011,Bangladesh,Play Framework,4,have used
2012,Greece,Play Framework,4,have used
2013,Bangladesh,Deno,4,have used
2014,Cyprus,FastAPI,4,have used
2015,Estonia,Blazor,4,have used
2016,Qatar,Vue.js,4,have used
2017,Bosnia and Herzegovina,Symfony,4,have used
2018,Spain,Play Framework,4,have used
2019,Singapore,Ruby on Rails,4,have used
2020,Honduras,Angular.js,4,have used
2021,Greece,Deno,4,have used
2022,Bolivia,Nuxt.js,4,have used
2023,Bosnia and Herzegovina,Blazor,4,have used
2024,Norway,Deno,4,have used
2025,Qatar,Angular.js,4,have used
2026,Nomadic,Vue.js,4,have used
2027,Cuba,Next.js,4,have used
2028,Qatar,Angular,4,have used
2029,Cuba,Nuxt.js,4,have used
2030,Jamaica,Angular,4,have used
2031,Portugal,Deno,4,have used
2032,Bosnia and Herzegovina,Nuxt.js,4,have used
2033,Dominican Republic,Gatsby,4,have used
2034,Panama,Django,4,have used
2035,Romania,Deno,4,have used
2036,Dominican Republic,FastAPI,4,have used
2037,Ethiopia,Gatsby,4,have used
2038,South Africa,Phoenix,4,have used
2039,United Republic of Tanzania,Angular.js,4,have used
2040,Palestine,ASP.NET Core,4,have used
2041,Armenia,Nuxt.js,4,have used
2042,Ireland,Symfony,4,have used
2043,Ireland,Play Framework,4,have used
2044,Ecuador,Gatsby,4,have used
2045,South Africa,Symfony,4,have used
2046,Ireland,Drupal,4,have used
2047,Somalia,jQuery,4,have used
2048,Sri Lanka,Play Framework,4,have used
2049,Panama,Next.js,4,have used
2050,Panama,Vue.js,4,have used
2051,Paraguay,ASP.NET Core,4,have used
2052,Isle of Man,jQuery,4,have used
2053,Peru,Fastify,4,have used
2054,Israel,Phoenix,4,have used
2055,Israel,Symfony,4,have used
2056,Jamaica,jQuery,4,have used
2057,Dominican Republic,Svelte,4,have used
2058,South Africa,Drupal,4,have used
2059,Peru,Deno,4,have used
2060,Azerbaijan,Blazor,4,have used
2061,Paraguay,Ruby on Rails,4,have used
2062,Peru,Blazor,4,have used
2063,Ecuador,Drupal,4,have used
2064,Palestine,Angular,4,have used
2065,Palestine,ASP.NET,4,have used
2066,Iceland,ASP.NET,4,have used
2067,Oman,jQuery,4,have used
2068,Iceland,jQuery,4,have used
2069,Kenya,Drupal,4,have used
2070,Jamaica,ASP.NET,4,have used
2071,Kenya,Play Framework,4,have used
2072,Kenya,Symfony,4,have used
2073,Bahrain,React.js,4,have used
2074,Armenia,Blazor,4,have used
2075,Slovenia,Ruby on Rails,4,have used
2076,Armenia,Angular.js,4,have used
2077,Argentina,Phoenix,4,have used
2078,Oman,React.js,4,have used
2079,Iceland,Express,4,have used
2080,Iceland,ASP.NET Core,4,have used
2081,Bosnia and Herzegovina,FastAPI,4,have used
2082,Indonesia,Blazor,4,have used
2083,Côte d'Ivoire,jQuery,4,have used
2084,Indonesia,Phoenix,4,have used
2085,United Republic of Tanzania,Vue.js,4,have used
2086,Kazakhstan,Nuxt.js,4,have used
2087,Singapore,Fastify,4,have used
2088,"Iran, Islamic Republic of...",Phoenix,4,have used
2089,Egypt,Phoenix,4,have used
2090,Egypt,Fastify,4,have used
2091,Belgium,Play Framework,4,have used
2092,Kazakhstan,Angular.js,4,have used
2093,Egypt,Drupal,4,have used
2094,Iraq,Next.js,4,have used
2095,Belgium,Deno,4,have used
2096,Democratic Republic of the Congo,Node.js,4,have used
2097,South Korea,Blazor,4,have used
2098,Democratic Republic of the Congo,React.js,4,have used
2099,Kenya,Fastify,4,have used
2100,Turkmenistan,React.js,4,have used
2101,Mozambique,Angular,4,have used
2102,Albania,Blazor,4,have used
2103,Syrian Arab Republic,Angular,4,have used
2104,Montenegro,jQuery,4,have used
2105,Madagascar,Symfony,4,have used
2106,Yemen,Laravel,4,have used
2107,Yemen,ASP.NET Core,4,have used
2108,Afghanistan,Fastify,4,have used
2109,China,Fastify,4,have used
2110,China,Phoenix,4,have used
2111,Benin,Django,4,have used
2112,Mozambique,Node.js,4,have used
2113,Colombia,Deno,4,have used
2114,Colombia,Drupal,4,have used
2115,Myanmar,Flask,4,have used
2116,Afghanistan,Symfony,4,have used
2117,Luxembourg,Flask,4,have used
2118,Togo,Laravel,4,have used
2119,"Congo, Republic of the...",Angular,4,have used
2120,Viet Nam,Deno,4,have used
2121,"Congo, Republic of the...",React.js,4,have used
2122,Lithuania,Fastify,4,have used
2123,Lithuania,Deno,4,have used
2124,Libyan Arab Jamahiriya,jQuery,4,have used
2125,Rwanda,jQuery,4,have used
2126,Sweden,Play Framework,4,have used
2127,Costa Rica,Laravel,4,have used
2128,Finland,Play Framework,4,have used
2129,Georgia,Gatsby,4,have used
2130,Croatia,Laravel,4,have used
2131,Latvia,Svelte,4,have used
2132,Latvia,Ruby on Rails,4,have used
2133,Malawi,Django,4,have used
2134,Montenegro,Express,4,have used
2135,Montenegro,Django,4,have used
2136,Montenegro,Angular,4,have used
2137,Saudi Arabia,Ruby on Rails,4,have used
2138,Zimbabwe,Vue.js,4,have used
2139,Malta,Django,4,have used
2140,Afghanistan,Angular.js,4,have used
2141,Tajikistan,React.js,4,have used
2142,Turkmenistan,Node.js,4,have used
2143,Zimbabwe,Next.js,4,have used
2144,Malta,Vue.js,4,have used
2145,Zimbabwe,Express,4,have used
2146,Mauritius,ASP.NET Core,4,have used
2147,Mauritius,Express,4,have used
2148,Cambodia,Django,4,have used
2149,Zimbabwe,Django,4,have used
2150,Thailand,Phoenix,4,have used
2151,Thailand,Play Framework,4,have used
2152,Cameroon,Flask,4,have used
2153,Taiwan,Phoenix,4,have used
2154,Thailand,Symfony,4,have used
2155,Malaysia,Phoenix,4,have used
2156,Malaysia,Drupal,4,have used
2157,Malawi,jQuery,4,have used
2158,Saudi Arabia,Blazor,4,have used
2159,Malawi,Laravel,4,have used
2160,Taiwan,Blazor,4,have used
2161,Zambia,Express,4,have used
2162,Cape Verde,Node.js,4,have used
2163,The former Yugoslav Republic of Macedonia,Laravel,4,have used
2164,Senegal,Next.js,4,have used
2165,Montenegro,ASP.NET Core,4,have used
2166,Latvia,Flask,4,have used
2167,Nomadic,Flask,4,have used
2168,Nicaragua,Laravel,4,have used
2169,Nigeria,Fastify,4,have used
2170,Nigeria,Symfony,4,have used
2171,Serbia,Gatsby,4,have used
2172,Cuba,ASP.NET Core,4,have used
2173,Algeria,Flask,4,have used
2174,Kyrgyzstan,ASP.NET Core,4,have used
2175,Ghana,Blazor,4,have used
2176,Swaziland,Node.js,4,have used
2177,Andorra,Django,4,have used
2178,Nomadic,ASP.NET Core,4,have used
2179,Sudan,Django,4,have used
2180,Taiwan,Deno,3,have used
2181,Belarus,Angular.js,3,have used
2182,Sri Lanka,Deno,3,have used
2183,Sudan,Angular.js,3,have used
2184,Malawi,Next.js,3,have used
2185,Indonesia,Play Framework,3,have used
2186,Georgia,Angular.js,3,have used
2187,Taiwan,Fastify,3,have used
2188,Uruguay,FastAPI,3,have used
2189,Sudan,Angular,3,have used
2190,Oman,ASP.NET Core,3,have used
2191,United Arab Emirates,Svelte,3,have used
2192,Uruguay,Gatsby,3,have used
2193,Republic of Moldova,Symfony,3,have used
2194,Turkmenistan,Flask,3,have used
2195,Maldives,ASP.NET Core,3,have used
2196,Andorra,Node.js,3,have used
2197,Iceland,Django,3,have used
2198,El Salvador,Blazor,3,have used
2199,United Arab Emirates,Nuxt.js,3,have used
2200,Taiwan,Play Framework,3,have used
2201,Bahrain,jQuery,3,have used
2202,Malaysia,Play Framework,3,have used
2203,Belarus,Blazor,3,have used
2204,Slovenia,Fastify,3,have used
2205,Bulgaria,Phoenix,3,have used
2206,Uzbekistan,Fastify,3,have used
2207,Angola,Node.js,3,have used
2208,Montenegro,ASP.NET,3,have used
2209,Mongolia,Vue.js,3,have used
2210,Mongolia,Symfony,3,have used
2211,Zambia,ASP.NET Core,3,have used
2212,Bulgaria,Deno,3,have used
2213,Ireland,Nuxt.js,3,have used
2214,Philippines,Drupal,3,have used
2215,Cape Verde,jQuery,3,have used
2216,Mongolia,Next.js,3,have used
2217,Sudan,Next.js,3,have used
2218,Ecuador,Nuxt.js,3,have used
2219,Philippines,Gatsby,3,have used
2220,Iraq,Vue.js,3,have used
2221,Singapore,Nuxt.js,3,have used
2222,Mongolia,Flask,3,have used
2223,Mongolia,FastAPI,3,have used
2224,Tunisia,Gatsby,3,have used
2225,Mongolia,Django,3,have used
2226,Angola,Laravel,3,have used
2227,The former Yugoslav Republic of Macedonia,Flask,3,have used
2228,Ghana,Angular.js,3,have used
2229,Senegal,Flask,3,have used
2230,Angola,ASP.NET Core,3,have used
2231,El Salvador,FastAPI,3,have used
2232,Taiwan,Symfony,3,have used
2233,Cambodia,Angular,3,have used
2234,Republic of Korea,ASP.NET,3,have used
2235,Bangladesh,Phoenix,3,have used
2236,Bolivia,Flask,3,have used
2237,Republic of Korea,Deno,3,have used
2238,Sri Lanka,Symfony,3,have used
2239,Kuwait,Phoenix,3,have used
2240,Slovakia,Gatsby,3,have used
2241,Cambodia,Gatsby,3,have used
2242,Malta,Laravel,3,have used
2243,Estonia,Gatsby,3,have used
2244,Tajikistan,jQuery,3,have used
2245,Sri Lanka,Phoenix,3,have used
2246,Malta,Express,3,have used
2247,Cameroon,Angular.js,3,have used
2248,Maldives,jQuery,3,have used
2249,Mali,Angular,3,have used
2250,Republic of Korea,Svelte,3,have used
2251,Estonia,Ruby on Rails,3,have used
2252,Saudi Arabia,Next.js,3,have used
2253,Republic of Moldova,ASP.NET,3,have used
2254,Nomadic,Express,3,have used
2255,Barbados,React.js,3,have used
2256,Estonia,Symfony,3,have used
2257,Ethiopia,Blazor,3,have used
2258,Ethiopia,Drupal,3,have used
2259,Republic of Moldova,Flask,3,have used
2260,Zimbabwe,Laravel,3,have used
2261,United Arab Emirates,FastAPI,3,have used
2262,Zimbabwe,ASP.NET,3,have used
2263,Zimbabwe,Flask,3,have used
2264,Hong Kong (S.A.R.),Ruby on Rails,3,have used
2265,Bosnia and Herzegovina,Phoenix,3,have used
2266,Mauritius,Symfony,3,have used
2267,Maldives,Laravel,3,have used
2268,Benin,Node.js,3,have used
2269,Mauritius,Next.js,3,have used
2270,El Salvador,Ruby on Rails,3,have used
2271,Mauritius,Laravel,3,have used
2272,Cuba,Angular.js,3,have used
2273,Honduras,Nuxt.js,3,have used
2274,Belize,React.js,3,have used
2275,Slovakia,Ruby on Rails,3,have used
2276,Andorra,React.js,3,have used
2277,Honduras,FastAPI,3,have used
2278,Tajikistan,Laravel,3,have used
2279,Qatar,ASP.NET,3,have used
2280,Sri Lanka,Fastify,3,have used
2281,Mauritius,ASP.NET,3,have used
2282,Cuba,Blazor,3,have used
2283,Qatar,Django,3,have used
2284,Zimbabwe,FastAPI,3,have used
2285,Qatar,Laravel,3,have used
2286,Tunisia,Ruby on Rails,3,have used
2287,Turkmenistan,Vue.js,3,have used
2288,Kuwait,Ruby on Rails,3,have used
2289,Peru,Symfony,3,have used
2290,Somalia,Express,3,have used
2291,Albania,Angular.js,3,have used
2292,"Congo, Republic of the...",Laravel,3,have used
2293,Pakistan,Play Framework,3,have used
2294,Côte d'Ivoire,Express,3,have used
2295,Algeria,Vue.js,3,have used
2296,Lithuania,Drupal,3,have used
2297,Jordan,Nuxt.js,3,have used
2298,Singapore,Blazor,3,have used
2299,United Republic of Tanzania,Next.js,3,have used
2300,Lithuania,Gatsby,3,have used
2301,Guatemala,Ruby on Rails,3,have used
2302,Lithuania,Phoenix,3,have used
2303,Lithuania,Play Framework,3,have used
2304,Luxembourg,Angular.js,3,have used
2305,Belarus,Symfony,3,have used
2306,Afghanistan,Svelte,3,have used
2307,Guinea,Laravel,3,have used
2308,Kyrgyzstan,Vue.js,3,have used
2309,Denmark,Fastify,3,have used
2310,Denmark,Gatsby,3,have used
2311,Benin,Symfony,3,have used
2312,Guinea,Next.js,3,have used
2313,Palestine,Laravel,3,have used
2314,Benin,React.js,3,have used
2315,Benin,jQuery,3,have used
2316,Botswana,Node.js,3,have used
2317,Nicaragua,ASP.NET Core,3,have used
2318,Palestine,Vue.js,3,have used
2319,Democratic Republic of the Congo,Express,3,have used
2320,Libyan Arab Jamahiriya,Vue.js,3,have used
2321,Singapore,Deno,3,have used
2322,Algeria,Next.js,3,have used
2323,Lao People's Democratic Republic,Node.js,3,have used
2324,Lao People's Democratic Republic,React.js,3,have used
2325,Algeria,FastAPI,3,have used
2326,Latvia,Angular.js,3,have used
2327,Latvia,Gatsby,3,have used
2328,Swaziland,jQuery,3,have used
2329,Finland,Fastify,3,have used
2330,Croatia,Phoenix,3,have used
2331,Croatia,Nuxt.js,3,have used
2332,Rwanda,Flask,3,have used
2333,Lebanon,FastAPI,3,have used
2334,Croatia,FastAPI,3,have used
2335,Costa Rica,Svelte,3,have used
2336,Lao People's Democratic Republic,Django,3,have used
2337,Costa Rica,Phoenix,3,have used
2338,Benin,Vue.js,3,have used
2339,Côte d'Ivoire,Flask,3,have used
2340,"Venezuela, Bolivarian Republic of...",Svelte,3,have used
2341,Libyan Arab Jamahiriya,ASP.NET,3,have used
2342,Libyan Arab Jamahiriya,Express,3,have used
2343,Costa Rica,Blazor,3,have used
2344,Libyan Arab Jamahiriya,Laravel,3,have used
2345,Libyan Arab Jamahiriya,Node.js,3,have used
2346,Albania,Gatsby,3,have used
2347,"Congo, Republic of the...",jQuery,3,have used
2348,Ukraine,Deno,3,have used
2349,Uruguay,Vue.js,3,have used
2350,Nicaragua,Django,3,have used
2351,Afghanistan,FastAPI,3,have used
2352,Azerbaijan,Angular.js,3,have used
2353,Chile,Play Framework,3,have used
2354,South Africa,Deno,3,have used
2355,Ecuador,Angular.js,3,have used
2356,Morocco,Ruby on Rails,3,have used
2357,Madagascar,Django,3,have used
2358,Belarus,Nuxt.js,3,have used
2359,Suriname,Django,3,have used
2360,Chile,Phoenix,3,have used
2361,Madagascar,Fastify,3,have used
2362,Jamaica,ASP.NET Core,3,have used
2363,Madagascar,Flask,3,have used
2364,Madagascar,Laravel,3,have used
2365,Bolivia,Symfony,3,have used
2366,Ecuador,FastAPI,3,have used
